Id	UID	Type	IdPlan	TurnOn	Traffic	Hacked
259766	98760fd4-60fd-41aa-a005-3657b43e1204	J	10	True	12720037865	True
931148	e164c87d-0552-4490-89f4-63ef27858d35	P	3	True	3284767903	True
361790	90bf9d32-1a2a-4c5f-ae23-902c0f8c4d40	P	4	True	3719391204	True
81437	17d2d516-4bfc-4def-ad09-5e8555a47b27	J	11	True	84262150755	True
967336	09721df9-a20f-4010-bf0f-0a21d613203c	P	3	True	5221422847	True
741182	716ee5be-c095-4425-bece-950262506bb7	J	10	True	130714972790	True
419875	ea93769b-a40b-4e7e-8206-6689a7d7f1a9	P	5	True	7310250536	True
498557	c9ea35b2-08d5-4ac7-a088-9a26cc599824	J	12	True	4087400010	True
903572	3768a019-b54a-4d8d-96bd-d729d8778cdf	P	0	True	4415255870	True
8710	36be0f84-6c52-42e8-91d2-f42c35b9543d	P	5	True	6140598844	True
815529	191c6c81-d6da-433d-af4c-fdbbcc2f4898	P	5	True	4121669401	True
997184	ebd182b7-f796-4e7a-83cb-92dc299aa48f	P	2	True	2536929144	True
558658	824f6ff6-6018-4e00-aa07-b6e666da0ccb	P	6	True	3109768064	True
562720	b0c9277f-e7e7-4854-96a0-0e8b4ba0a457	J	12	True	127639161679	True
614873	15f5aa68-2fd3-4eda-add3-41b2865f2e51	P	7	True	2422446385	True
227701	1fd79a39-7f8b-45d2-9627-1662602070d5	P	5	True	10196689450	True
815619	78d3706c-4630-4a61-998d-70a3d253d131	P	4	True	3218933356	True
111783	0245648b-0439-4623-8569-3eadff231823	P	4	True	6922516164	True
963406	f373fa1c-f26b-47d0-8e53-5c0fc30c9039	J	12	True	16956905654	True
208569	13b06e0f-40a3-4f4e-b6c6-d0676200d95a	P	1	True	4848851585	True
101739	82e1ff84-00c5-480a-b3d9-921dd05daae6	P	1	True	4368912217	True
727769	962afc02-4d89-4150-85dd-0fc87b63c43c	P	6	True	7223140677	True
146332	c430ea39-844d-40fa-bc48-613bc7c9e441	P	5	True	7656364017	True
170031	94104e8c-d939-4dcc-88ca-cbc14d95fb22	P	3	True	5020986272	True
379288	be3646be-2f65-4181-9baf-2c2f4983a87b	P	0	True	6526991557	True
618936	823e5d44-83df-4e58-bc0c-7ec8c6e4c45b	J	12	True	10705609171	True
467911	35d8a6c7-d18f-4ae5-84d4-b033c6bdc1bf	P	5	True	3720195473	True
171456	d92f0553-8a89-451f-b240-d368ebbbe957	J	11	True	40676594638	True
38563	25490db0-70db-4cca-b8b8-560ae89b4d94	P	5	True	10420896484	True
749866	b7c4b395-9a42-4015-aaf2-c7e08a11a5f0	J	10	True	89594576764	True
544921	9991cad0-bc93-4b9d-942b-0f022560025a	J	10	True	13892241901	True
916730	19486ed9-5db0-4970-960b-edfdb2260fc1	P	6	True	2318742983	True
740010	e2ce5a70-3a7e-4977-890a-ebce2fffe7ac	P	2	True	4613943408	True
83237	da23b2eb-3214-4023-8e76-76314a663514	P	5	True	7432120136	True
701130	8600b954-632d-4b4a-8c6f-30be5e17b6e6	P	1	True	6483313820	True
140703	1bc6d2ca-f704-483b-90ec-9062c5726667	P	4	True	10366254838	True
936454	86ee1c97-3191-46be-9829-11e3f1cc5adb	P	1	True	2962019868	True
104162	0e839e79-2aaf-4ee0-8bf8-b2ade89bb4cd	P	3	True	2357122151	True
262733	a8cc308f-e7f2-4785-9cc9-3e39a4d36d8e	P	2	True	8649324669	True
896726	4af74f3d-a17a-46aa-a9bf-c2f57f7adaa8	P	2	True	6201399663	True
964229	b4f2e9db-8e53-47ae-ade6-4beb29ad7709	P	3	True	10177362855	True
761423	63a50ebf-88c6-498a-980c-c6474785d68b	P	0	True	5261324210	True
276554	df57f341-17b0-434a-b997-74bb8a1fd192	P	6	True	7514486864	True
708861	bf8f6ba4-f4e7-4aeb-8935-47b7fb01650e	P	7	True	15722688866	True
130228	ed06a424-9f9c-4e96-9575-6f8644aadc42	P	5	True	3820305310	True
9663	1bf5467e-3f7c-4a58-8a65-c70676980697	P	5	True	3500054105	True
348400	40e43b20-be03-4213-8a32-f7dbb6504e11	P	3	True	8506730812	True
539736	b6462faa-833a-4d5d-878d-b132067c77a3	J	11	True	7348930704	True
97921	2af4ffa4-dd4c-4696-90c3-c604e289df2b	J	11	True	28552162368	True
519359	9a2bf2a2-a59d-404a-acbb-15f962f72112	P	4	True	9186068628	True
869219	c779e46c-ad9f-4c8c-b6b1-14df483cb4e2	J	12	True	22329418256	True
895072	6e03661f-e7c2-4be9-a319-7c7df6c628a0	P	0	True	4269396149	True
242869	df77e1ae-1f4e-44a6-b7c5-5fc96ca21d7c	P	4	True	5045902793	True
812537	f4b73e15-a582-4e35-8276-b957820ee7d9	J	10	True	22719519685	True
68025	a72dd0e6-dc03-420a-88e5-04416bd5d496	P	3	True	7918204232	True
172729	6812bec5-4ad2-4cd2-8289-a1f3b1a4575e	P	2	True	7688454596	True
386395	a7b29259-c256-4d12-ac82-f3defac87cae	P	7	True	9529763674	True
840410	d6c8e421-08be-4ee1-8c30-f17bd28acce3	P	6	True	4230666515	True
481831	dc39a338-1ded-4963-9497-690fcb9ba7e1	P	6	True	7863580666	True
418105	a793a1b6-9754-4ab4-8971-89e516e73f8a	P	5	True	8554625091	True
610454	fe502832-6f09-40fa-8724-0f81e1dd6d30	J	12	True	14839821461	True
732163	0214e3af-cab9-4be7-a617-481f631af9da	P	4	True	5171544085	True
55036	b60c82aa-6bed-47e3-bac1-7d891fa0685e	P	6	True	11859591149	True
914816	6800b79f-4fb8-446a-8cfd-1edde2190734	P	6	True	13430917301	True
374997	9a60c51b-a05f-4246-9fd2-c10d8054a7c9	P	2	True	3040351428	True
185313	27ddcc36-f0ae-4f65-9ce7-a040be25db46	P	1	True	6608465359	True
464962	bee774f9-6e7c-4ee1-9dfe-f9279feefef2	P	1	True	16945957879	True
25228	73c3afd0-a5c0-475b-a7ba-28fe509b8f4d	P	3	True	3283264565	True
878175	19840ceb-e8e0-47d4-967b-aaa73ce53263	J	10	True	6081865766	True
181443	c68f903e-2c36-4907-a26c-d21271cb5481	P	4	True	6033377380	True
643708	17aaf26c-b973-4bc0-ac9d-da3a56325436	P	2	True	6433520871	True
836056	46628440-3c0c-45b5-8523-178cab24792b	P	2	True	10852114332	True
363061	106a8ab6-30c3-481b-ab46-56b9c9edd0df	P	5	True	2610128517	True
224235	01854353-69df-489d-80fa-3693c893cda0	P	6	True	4656970326	True
626354	03180708-aae1-43e1-925b-20be3dea501c	P	6	True	6091807670	True
412025	f37d4568-3ee3-47f9-9ee1-4d797cd8cfb0	P	2	True	8501261928	True
522795	c675eb6b-0c17-49b3-9744-4e04aa908060	P	5	True	6166829218	True
354367	183a48b1-cafc-4328-a10b-7133c975545f	P	2	True	2079015511	True
228134	aed66d50-cd5c-4698-b49d-10568c07c452	J	11	True	13976898960	True
68397	873858db-ea7c-46a4-b513-e92073d653e8	P	1	True	11994444057	True
469328	940f307f-5951-4bf8-ab5e-b396d2c6ccd5	J	11	True	81292768714	True
646172	e208f9e6-0b5a-4fe2-85cd-5236a365293b	J	11	True	9469642390	True
635051	6ee333a7-efca-44aa-bc34-1a38f5633ed4	P	2	True	6250340979	True
280067	7231e572-5173-446f-b7eb-891fdb10c734	P	3	True	7326206934	True
868817	d9d3b72c-39ed-4c97-baca-77da0a76ba6b	J	11	True	32549830594	True
429503	b9b2e4aa-ecc9-47dc-8217-ddc48eeae9b9	P	2	True	10385092695	True
596359	e55f8271-f385-413d-80b6-0dec6ac4deac	P	1	True	5158692790	True
553192	9256de7a-0c3a-43f3-bce3-9e5d0e62e74a	J	12	True	15376243598	True
74485	0e14625b-819e-4649-982d-6592f73b2af6	J	12	True	9984091910	True
886074	893d8a97-437b-4e63-83e0-9b7897f4b9dd	P	1	True	9726799092	True
986182	7a051ace-0aa3-4bf1-972d-b2885e177438	P	2	True	22765131642	True
866005	3006f124-c23c-493d-993c-f580f16c87ca	P	2	True	7040009760	True
718905	089c9012-a019-4965-a899-2b26fc9d80de	J	11	True	78904990525	True
986170	6d4679b1-522e-4fc7-9e12-38c0e8d13e3f	P	7	True	9702521056	True
518101	c48fc97c-8d06-4758-bd39-2206dc262b31	P	2	True	7659007381	True
207764	36f00254-43bd-421c-9b1f-68a394488f92	P	7	True	10713916574	True
521598	4a7e06bc-a2e5-482a-b33d-b4eae109e15e	P	2	True	6460383072	True
109633	dcac4935-915b-41b2-a738-4ee15c3c3841	P	7	True	5206819820	True
761533	36e0bd71-db5a-4e5d-b786-e7bb4cc4af23	P	1	True	10174917595	True
669892	f4469336-0a27-4d18-8d33-f76fe0172908	P	0	True	11322956086	True
451801	f75655e6-bdc7-460e-a40f-7861be06feed	P	7	True	9879064685	True
768515	8f3ba468-3bc1-4ba0-b44b-edc6381f40a4	P	5	True	10471290271	True
906907	952566ab-359d-4d66-9310-b644f7cef945	J	11	True	13981861559	True
235066	36c14c56-538c-4aba-9dd1-167a70ee9f0d	J	12	True	72005733476	True
361826	e06f404d-b0e0-4864-9192-c8f3acdb97bc	P	2	True	9075434894	True
205427	9ab3ca99-339f-4fab-8c7c-a33252c1dfd6	J	10	True	77472570975	True
802529	71acf6c0-4031-4570-9f58-b73e528789d4	J	12	True	27542742980	True
